Age,Gender,Education Level,Job Title,Years of Experience,Salary
32,Male,Bachelor's,Backend,5,90000
28,Female,Master's,Backend,3,65000
45,Male,PhD,Fullstack,15,150000
36,Female,Bachelor's,Backend,7,60000
52,Male,Master's,Fullstack,20,200000
29,Male,Bachelor's,Fullstack,2,55000
42,Female,Master's,Frontend,12,120000
31,Male,Bachelor's,Frontend,4,80000
26,Female,Bachelor's,Backend,1,45000
38,Male,PhD,Fullstack,10,110000
29,Male,Master's,Backend,3,75000
48,Female,Bachelor's,Fullstack,18,140000
35,Male,Bachelor's,Fullstack,6,65000
40,Female,Master's,Fullstack,14,130000
27,Male,Bachelor's,Fullstack,2,40000
44,Male,Bachelor's,Frontend,16,125000
33,Female,Master's,Backend,7,90000
39,Male,PhD,Frontend,12,115000
25,Female,Bachelor's,Backend,0,35000
51,Male,Bachelor's,Backend,22,180000
34,Female,Master's,Frontend,5,80000
47,Male,Master's,Frontend,19,190000
30,Male,Bachelor's,Fullstack,2,50000
36,Female,Bachelor's,Backend,9,60000
41,Male,Master's,Backend,13,140000
28,Female,Bachelor's,Backend,3,45000
37,Female,Master's,Fullstack,11,110000
24,Male,Bachelor's,Frontend,1,40000
43,Female,PhD,Backend,15,140000
33,Male,Master's,Backend,6,90000
50,Male,Bachelor's,Fullstack,25,250000
31,Female,Bachelor's,Backend,4,55000
29,Male,Master's,Fullstack,3,75000
39,Female,Bachelor's,Backend,10,65000
46,Male,PhD,Backend,20,170000
27,Male,Bachelor's,Frontend,2,45000
35,Female,Bachelor's,Frontend,7,60000
42,Male,Master's,Frontend,14,115000
26,Female,Bachelor's,Fullstack,1,40000
49,Male,Bachelor's,Frontend,21,160000
34,Female,Master's,Fullstack,5,80000
48,Male,Master's,Backend,18,190000
30,Male,Bachelor's,Backend,3,60000
36,Female,Bachelor's,Fullstack,8,45000
41,Male,Master's,Frontend,13,130000
28,Female,Bachelor's,Frontend,2,40000
32,Male,Bachelor's,Backend,5,75000
45,Female,Master's,Frontend,16,180000
38,Male,PhD,Fullstack,11,120000
25,Male,Bachelor's,Fullstack,0,35000
51,Female,Bachelor's,Fullstack,22,130000
33,Male,Master's,Frontend,7,85000
40,Female,Bachelor's,Frontend,12,60000
47,Male,Master's,Fullstack,19,200000
29,Female,Bachelor's,Backend,3,50000
36,Male,Bachelor's,Fullstack,9,95000
27,Female,Master's,Fullstack,2,65000
43,Male,PhD,Backend,17,140000
30,Female,Bachelor's,Fullstack,4,55000
35,Male,Master's,Fullstack,7,105000
51,Female,Master's,Frontend,23,170000
29,Male,Bachelor's,Fullstack,3,50000
40,Female,Bachelor's,Backend,12,80000
47,Male,PhD,Fullstack,21,180000
26,Male,Bachelor's,Backend,1,35000
38,Female,Master's,Fullstack,10,90000
46,Male,Bachelor's,Fullstack,19,120000
31,Female,Bachelor's,Frontend,5,45000
34,Male,Master's,Frontend,8,90000
49,Female,Master's,Fullstack,18,150000
33,Male,Bachelor's,Fullstack,6,65000
39,Female,Bachelor's,Backend,11,70000
45,Male,PhD,Frontend,16,190000
28,Male,Bachelor's,Fullstack,2,40000
42,Female,Master's,Backend,14,120000
37,Male,Bachelor's,Backend,10,95000
50,Female,Bachelor's,Frontend,22,160000
32,Male,Master's,Frontend,6,100000
48,Female,Master's,Backend,20,180000
30,Female,Bachelor's,Frontend,3,55000
36,Male,Bachelor's,Frontend,8,70000
41,Female,Master's,Backend,13,80000
25,Male,Bachelor's,Frontend,0,30000
52,Male,PhD,Backend,24,250000
29,Female,Bachelor's,Frontend,2,40000
34,Female,Master's,Fullstack,10,95000
27,Male,Bachelor's,Frontend,2,45000
40,Female,Bachelor's,Fullstack,15,80000
46,Male,Master's,Fullstack,21,135000
31,Female,Bachelor's,Frontend,6,55000
36,Male,PhD,Fullstack,11,120000
29,Female,Bachelor's,Backend,3,40000
43,Male,Bachelor's,Fullstack,18,105000
52,Female,Master's,Fullstack,25,170000
33,Male,Bachelor's,Backend,7,75000
39,Female,Bachelor's,Backend,12,65000
47,Male,PhD,Fullstack,22,160000
26,Male,Bachelor's,Fullstack,1,35000
38,Female,Master's,Backend,10,90000
45,Male,Bachelor's,Frontend,20,110000
31,Female,Bachelor's,Backend,5,45000
35,Male,Master's,Fullstack,8,95000
49,Female,Master's,Frontend,19,150000
33,Male,Bachelor's,Frontend,5,50000
39,Female,Master's,Frontend,13,80000
44,Male,PhD,Backend,16,220000
30,Female,Bachelor's,Backend,3,50000
36,Male,Bachelor's,Frontend,7,60000
41,Female,Master's,Backend,14,100000
28,Male,Bachelor's,Fullstack,2,40000
42,Female,Master's,Fullstack,15,110000
37,Male,Bachelor's,Fullstack,9,95000
50,Female,Bachelor's,Fullstack,22,130000
32,Male,Master's,Fullstack,6,90000
23,Female,Bachelor's,Fullstack,0.5,35000
31,Male,Master's,Frontend,6,95000
